kf, avgmse, stdmse, avgmae, stdmae, avgmape, stdmape, avgr2, stdr2, avgacc, stdacc, avgbal_acc, stdbal_acc
1,0.0009470194611482817,0.0003255682005008817,0.024319039252723412,0.005101188553343319,0.035759620873945,0.007411158911401874,0.4086407377312173,0.2032986424935053,0.6,0.1788854381999832,0.5666666666666667,0.22607766610417562
2,0.0018749567376413066,0.000189042071445335,0.03640271872619021,0.0039237654957509594,0.05286728159537748,0.006423172724650111,0.494296896137646,0.050987396333602,0.52,0.09797958971132711,0.5666666666666667,0.13333333333333333
3,0.0007561914444895334,0.00023812979500641528,0.021237688977575674,0.003217268001572147,0.03150181979826795,0.004563440924140767,0.4997383104124772,0.15753578602235643,0.76,0.08000000000000003,0.8,0.0666666666666667
4,0.0009233484451969655,0.00023680624063582986,0.025730012206259763,0.0036698937117680772,0.03701299019697465,0.005557550782375909,0.6865894913760088,0.08037871803334096,0.64,0.19595917942265426,0.7000000000000001,0.16329931618554525
5,0.000821316397227342,0.000314384045421888,0.021723505425312536,0.005084887835792194,0.03184673264653202,0.007144522012140885,0.5371158336948474,0.17718311390837935,0.64,0.14966629547095767,0.6333333333333333,0.12472191289246473
6,0.0010440626690670662,0.00027578896170488864,0.02622158858316772,0.0036367074860290576,0.03794810006244086,0.005672023306864934,0.33103143415655706,0.1767079234353129,0.5599999999999999,0.14966629547095767,0.6,0.16996731711975951
7,0.0017003769850909775,0.00037034417313795497,0.0333746823308606,0.003799015986873416,0.05185378823271732,0.005643753349648573,-0.36646707624888203,0.29761818932555983,0.48,0.0979795897113271,0.5666666666666667,0.08164965809277258
8,0.0009882932310860773,0.0004007340866409099,0.02361043780784909,0.0034516718377812718,0.034107511846944404,0.00481159769461887,0.5378312243057759,0.18740063816711658,0.7200000000000001,0.16,0.6,0.13333333333333333
